Wed Mar 29 15:11:42 EDT 2017 |  coup M : g8f6
Wed Mar 29 15:12:18 EDT 2017 |  coup(joue) H : a1a4
Wed Mar 29 15:12:18 EDT 2017 |  coup(inscrit) H : a1a4
Wed Mar 29 15:12:18 EDT 2017 |  coup M : g8f6
Wed Mar 29 15:12:58 EDT 2017 |  coup(joue) H : a1a4
Wed Mar 29 15:12:58 EDT 2017 |  coup(inscrit) H : a1a4
Wed Mar 29 15:12:58 EDT 2017 |  coup M : g8f6
Wed Mar 29 15:18:20 EDT 2017 |  coup(joue) H : c1c4
Wed Mar 29 15:18:20 EDT 2017 |  coup(inscrit) H : c1c4
Wed Mar 29 15:18:33 EDT 2017 |  coup(joue) H : c1e3
Wed Mar 29 15:18:33 EDT 2017 |  coup(inscrit) H : c1e3
Wed Mar 29 15:18:33 EDT 2017 |  coup M : f6e4
Wed Mar 29 15:19:10 EDT 2017 |  coup(joue) H : e3f4
Wed Mar 29 15:19:10 EDT 2017 |  coup(inscrit) H : e3f4
Wed Mar 29 15:19:10 EDT 2017 |  coup M : d8d4
Wed Mar 29 15:22:52 EDT 2017 |  coup(joue) H : a1a2
Wed Mar 29 15:22:52 EDT 2017 |  coup(inscrit) H : a1a2
Wed Mar 29 15:22:52 EDT 2017 |  coup M : g8f6
Wed Mar 29 15:23:01 EDT 2017 |  coup(joue) H : a2h2
Wed Mar 29 15:23:01 EDT 2017 |  coup(inscrit) H : a2h2
Wed Mar 29 15:23:01 EDT 2017 |  coup M : f6e4
Wed Mar 29 15:24:25 EDT 2017 |  coup(joue) H : a1a2
Wed Mar 29 15:24:25 EDT 2017 |  coup(inscrit) H : a1a2
Wed Mar 29 15:24:25 EDT 2017 |  coup M : g8f6
Wed Mar 29 15:24:31 EDT 2017 |  coup(joue) H : a2h2
Wed Mar 29 15:24:31 EDT 2017 |  coup(inscrit) H : a2h2
Wed Mar 29 15:24:31 EDT 2017 |  coup M : f6e4
Wed Mar 29 15:31:24 EDT 2017 |  coup(joue) H : c1e4
Wed Mar 29 15:31:24 EDT 2017 |  coup(inscrit) H : c1e4
Wed Mar 29 15:31:45 EDT 2017 |  coup(joue) H : c1e3
Wed Mar 29 15:31:45 EDT 2017 |  coup(inscrit) H : c1e3
Wed Mar 29 15:31:45 EDT 2017 |  coup M : g8f6
Wed Mar 29 15:31:58 EDT 2017 |  coup(joue) H : e3c1
Wed Mar 29 15:31:58 EDT 2017 |  coup(inscrit) H : e3c1
Wed Mar 29 15:31:58 EDT 2017 |  coup M : f6e4
Wed Mar 29 15:32:32 EDT 2017 |  coup(joue) H : c1e3
Wed Mar 29 15:32:32 EDT 2017 |  coup(inscrit) H : c1e3
Wed Mar 29 15:32:32 EDT 2017 |  coup M : g8f6
Wed Mar 29 15:32:37 EDT 2017 |  coup(joue) H : e3c1
Wed Mar 29 15:32:37 EDT 2017 |  coup(inscrit) H : e3c1
Wed Mar 29 15:32:37 EDT 2017 |  coup M : f6e4
Wed Mar 29 15:33:06 EDT 2017 |  coup(joue) H : c1a3
Wed Mar 29 15:33:06 EDT 2017 |  coup(inscrit) H : c1a3
Wed Mar 29 15:33:06 EDT 2017 |  coup M : d8d4
Wed Mar 29 15:33:19 EDT 2017 |  coup(joue) H : a3c1
